"";"fill";"height";"count";"x";"xmin";"xmax";"width";"density";"ncount";"ndensity";"flipped_aes";"y";"PANEL";"group";"iscale";"scale";"rel_min_height";"ymin";"ymax";"min_height";"colour";"size";"linetype";"alpha";"datatype";"point_shape";"point_size";"point_stroke"
"21";"#e66101";0,00200373043056181;35,7379918375282;45;45;50;5;0,00200373043056181;0,0544234756569191;0,0544234756569191;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1.01768749010177;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"22";"#e66101";0,00200373043056181;35,7379918375282;49,99995;45;50;5;0,00200373043056181;0,0544234756569191;0,0544234756569191;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1.01768749010177;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"23";"#e66101";0;0;50;50;55;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"24";"#e66101";0;0;54,99995;50;55;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"25";"#e66101";0;0;55;55;60;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"26";"#e66101";0;0;59,99995;55;60;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"27";"#e66101";0;0;60;60;65;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"28";"#e66101";0;0;64,99995;60;65;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"29";"#e66101";0;0;65;65;70;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"30";"#e66101";0;0;69,99995;65;70;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"31";"#e66101";0;0;70;70;75;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"32";"#e66101";0;0;74,99995;70;75;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"33";"#e66101";0;0;75;75;80;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"34";"#e66101";0;0;79,99995;75;80;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
"35";"#e66101";0;0;80;80;85;5;0;0;0;FALSE;1;"1";1;5,51705017051943;1,6;0,01;1;1;0,00181256281725248;"#444444";0,2;1;NA;"ridgeline";19;1,5;0,5
