,Estimate,SE,group
masks,0.011456621,0.005886197,Broad
masks,0.021316597,0.005440843,Narrow
dist,0.004451466,0.013985867,Broad
dist,-0.017328593,0.013817208,Narrow
vaccine,0.039288784,0.005756682,Broad
vaccine,0.032535944,0.005656742,Narrow
