,Control,Other Behavior,Broad,Narrow
"No, definitely not",0.08389337394394332,0.0832189221189425,0.0837698984906015,0.08344338485661716
Probably not,0.07166073725981084,0.07128993793767775,0.06716324557681932,0.06738598844319875
Unsure,0.17364450461313283,0.1710715339461526,0.16227283521069974,0.16718910772648424
Probably,0.18710721142170203,0.18397225436938913,0.18420468231681159,0.18093611457985534
"Yes,
definitely",0.48369417276142124,0.4904473516278383,0.5025893384050953,0.5010454043938306
