"";"fill";"y";"x";"PANEL";"group";"flipped_aes";"ymin";"ymax";"xmin";"xmax";"colour";"size";"linetype";"alpha"
"47";"#6DB581";0,418987656343499;9;"1";3;FALSE;0;0,418987656343499;9;9;NA;0,5;1;0,62
"48";"#6DB581";0,376314207516953;10;"1";3;FALSE;0;0,376314207516953;10;10;NA;0,5;1;0,62
"49";"#6DB581";0,349376085841194;11;"1";3;FALSE;0;0,349376085841194;11;11;NA;0,5;1;0,62
"50";"#6DB581";0,328911258380261;12;"1";3;FALSE;0;0,328911258380261;12;12;NA;0,5;1;0,62
"51";"#6DB581";0,409743002618035;13;"1";3;FALSE;0;0,409743002618035;13;13;NA;0,5;1;0,62
"52";"#6DB581";0,534695363521196;14;"1";3;FALSE;0;0,534695363521196;14;14;NA;0,5;1;0,62
"53";"#6DB581";0,53122347488139;15;"1";3;FALSE;0;0,53122347488139;15;15;NA;0,5;1;0,62
"54";"#6DB581";0,548046757761384;16;"1";3;FALSE;0;0,548046757761384;16;16;NA;0,5;1;0,62
"55";"#6DB581";0,560782868145475;17;"1";3;FALSE;0;0,560782868145475;17;17;NA;0,5;1;0,62
"56";"#6DB581";0,607652428876559;18;"1";3;FALSE;0;0,607652428876559;18;18;NA;0,5;1;0,62
"57";"#6DB581";0,612041941344106;19;"1";3;FALSE;0;0,612041941344106;19;19;NA;0,5;1;0,62
"58";"#4C3F30";1;1;"2";1;FALSE;0,708064691020888;1;1;1;NA;0,5;1;0,62
"59";"#4C3F30";1;2;"2";1;FALSE;0,724257010941978;1;2;2;NA;0,5;1;0,62
"60";"#4C3F30";1;3;"2";1;FALSE;0,724306281047153;1;3;3;NA;0,5;1;0,62
"61";"#4C3F30";1;4;"2";1;FALSE;0,723072231958676;1;4;4;NA;0,5;1;0,62
"62";"#4C3F30";1;5;"2";1;FALSE;0,739118263715682;1;5;5;NA;0,5;1;0,62
"63";"#4C3F30";1;6;"2";1;FALSE;0,732146541301198;1;6;6;NA;0,5;1;0,62
"64";"#4C3F30";1;7;"2";1;FALSE;0,709061150200475;1;7;7;NA;0,5;1;0,62
"65";"#4C3F30";1;8;"2";1;FALSE;0,724519215800347;1;8;8;NA;0,5;1;0,62
"66";"#4C3F30";1;9;"2";1;FALSE;0,698287735793745;1;9;9;NA;0,5;1;0,62
"67";"#4C3F30";1;10;"2";1;FALSE;0,68891205572716;1;10;10;NA;0,5;1;0,62
"68";"#4C3F30";1;11;"2";1;FALSE;0,698876698909584;1;11;11;NA;0,5;1;0,62
"69";"#4C3F30";1;12;"2";1;FALSE;0,733255326057394;1;12;12;NA;0,5;1;0,62
"70";"#4C3F30";1;13;"2";1;FALSE;0,79963689590525;1;13;13;NA;0,5;1;0,62
"71";"#4C3F30";1;14;"2";1;FALSE;0,828855131598066;1;14;14;NA;0,5;1;0,62
"72";"#4C3F30";1;15;"2";1;FALSE;0,832520372319803;1;15;15;NA;0,5;1;0,62
"73";"#4C3F30";1;16;"2";1;FALSE;0,840140551139754;1;16;16;NA;0,5;1;0,62
"74";"#4C3F30";1;17;"2";1;FALSE;0,835719830539096;1;17;17;NA;0,5;1;0,62
"75";"#4C3F30";1;18;"2";1;FALSE;0,82617169731385;1;18;18;NA;0,5;1;0,62
"76";"#4C3F30";1;19;"2";1;FALSE;0,845854786420455;1;19;19;NA;0,5;1;0,62
"77";"#EAEAEA";0,708064691020888;1;"2";2;FALSE;0,424191956328741;0,708064691020888;1;1;NA;0,5;1;0,62
"78";"#EAEAEA";0,724257010941978;2;"2";2;FALSE;0,460577724265145;0,724257010941978;2;2;NA;0,5;1;0,62
"79";"#EAEAEA";0,724306281047153;3;"2";2;FALSE;0,44578733970084;0,724306281047153;3;3;NA;0,5;1;0,62
"80";"#EAEAEA";0,723072231958676;4;"2";2;FALSE;0,411618921474609;0,723072231958676;4;4;NA;0,5;1;0,62
"81";"#EAEAEA";0,739118263715682;5;"2";2;FALSE;0,342155987683146;0,739118263715682;5;5;NA;0,5;1;0,62
"82";"#EAEAEA";0,732146541301198;6;"2";2;FALSE;0,362861429550099;0,732146541301198;6;6;NA;0,5;1;0,62
"83";"#EAEAEA";0,709061150200475;7;"2";2;FALSE;0,355520513109459;0,709061150200475;7;7;NA;0,5;1;0,62
"84";"#EAEAEA";0,724519215800347;8;"2";2;FALSE;0,406743069773586;0,724519215800347;8;8;NA;0,5;1;0,62
"85";"#EAEAEA";0,698287735793745;9;"2";2;FALSE;0,391550783687873;0,698287735793745;9;9;NA;0,5;1;0,62
"86";"#EAEAEA";0,68891205572716;10;"2";2;FALSE;0,378285561232795;0,68891205572716;10;10;NA;0,5;1;0,62
"87";"#EAEAEA";0,698876698909584;11;"2";2;FALSE;0,385702148575269;0,698876698909584;11;11;NA;0,5;1;0,62
"88";"#EAEAEA";0,733255326057394;12;"2";2;FALSE;0,420773392000356;0,733255326057394;12;12;NA;0,5;1;0,62
"89";"#EAEAEA";0,79963689590525;13;"2";2;FALSE;0,559533118916008;0,79963689590525;13;13;NA;0,5;1;0,62
"90";"#EAEAEA";0,828855131598066;14;"2";2;FALSE;0,621916211122668;0,828855131598066;14;14;NA;0,5;1;0,62
"91";"#EAEAEA";0,832520372319803;15;"2";2;FALSE;0,62464240027985;0,832520372319803;15;15;NA;0,5;1;0,62
"92";"#EAEAEA";0,840140551139754;16;"2";2;FALSE;0,629024785648077;0,840140551139754;16;16;NA;0,5;1;0,62
"93";"#EAEAEA";0,835719830539096;17;"2";2;FALSE;0,618969531169183;0,835719830539096;17;17;NA;0,5;1;0,62
"94";"#EAEAEA";0,82617169731385;18;"2";2;FALSE;0,629803677256086;0,82617169731385;18;18;NA;0,5;1;0,62
"95";"#EAEAEA";0,845854786420455;19;"2";2;FALSE;0,651825188521143;0,845854786420455;19;19;NA;0,5;1;0,62
"96";"#6DB581";0,424191956328741;1;"2";3;FALSE;0;0,424191956328741;1;1;NA;0,5;1;0,62
"97";"#6DB581";0,460577724265145;2;"2";3;FALSE;0;0,460577724265145;2;2;NA;0,5;1;0,62
"98";"#6DB581";0,44578733970084;3;"2";3;FALSE;0;0,44578733970084;3;3;NA;0,5;1;0,62
"99";"#6DB581";0,411618921474609;4;"2";3;FALSE;0;0,411618921474609;4;4;NA;0,5;1;0,62
"100";"#6DB581";0,342155987683146;5;"2";3;FALSE;0;0,342155987683146;5;5;NA;0,5;1;0,62
"101";"#6DB581";0,362861429550099;6;"2";3;FALSE;0;0,362861429550099;6;6;NA;0,5;1;0,62
"102";"#6DB581";0,355520513109459;7;"2";3;FALSE;0;0,355520513109459;7;7;NA;0,5;1;0,62
"103";"#6DB581";0,406743069773586;8;"2";3;FALSE;0;0,406743069773586;8;8;NA;0,5;1;0,62
"104";"#6DB581";0,391550783687873;9;"2";3;FALSE;0;0,391550783687873;9;9;NA;0,5;1;0,62
"105";"#6DB581";0,378285561232795;10;"2";3;FALSE;0;0,378285561232795;10;10;NA;0,5;1;0,62
"106";"#6DB581";0,385702148575269;11;"2";3;FALSE;0;0,385702148575269;11;11;NA;0,5;1;0,62
"107";"#6DB581";0,420773392000356;12;"2";3;FALSE;0;0,420773392000356;12;12;NA;0,5;1;0,62
"108";"#6DB581";0,559533118916008;13;"2";3;FALSE;0;0,559533118916008;13;13;NA;0,5;1;0,62
"109";"#6DB581";0,621916211122668;14;"2";3;FALSE;0;0,621916211122668;14;14;NA;0,5;1;0,62
"110";"#6DB581";0,62464240027985;15;"2";3;FALSE;0;0,62464240027985;15;15;NA;0,5;1;0,62
"111";"#6DB581";0,629024785648077;16;"2";3;FALSE;0;0,629024785648077;16;16;NA;0,5;1;0,62
"112";"#6DB581";0,618969531169183;17;"2";3;FALSE;0;0,618969531169183;17;17;NA;0,5;1;0,62
"113";"#6DB581";0,629803677256086;18;"2";3;FALSE;0;0,629803677256086;18;18;NA;0,5;1;0,62
"114";"#6DB581";0,651825188521143;19;"2";3;FALSE;0;0,651825188521143;19;19;NA;0,5;1;0,62
