,Estimate,SE,sort_order
"Yes, definitely",0.524879614767255,0.020023338664382155,0
Probably,0.35238095238095235,0.03304401999334814,1
Unsure,0.1217948717948718,0.02626918727322485,2
Probably not,0.06451612903225806,0.019796660830683977,3
"No, definitely not",0.03398058252427184,0.01265410422875172,4
