,Estimate,SE,term,group
masks,0.02008822161345065,0.003550259545241235,tmp_treatment[T.high],Broad
masks,0.020713317705547404,0.003524748258763707,tmp_treatment[T.low],Narrow
dist,0.008926210656444208,0.008697043211311492,tmp_treatment[T.high],Broad
dist,0.0002863420391883653,0.008745121694712537,tmp_treatment[T.low],Narrow
vaccine,0.028367938780600763,0.0034018426241240397,tmp_treatment[T.high],Broad
vaccine,0.02244300015246884,0.0034079488829073168,tmp_treatment[T.low],Narrow
