,Estimate,SE,term,group
masks,-0.0013074881964113974,0.00774008741019193,tmp_treatment[T.high],Broad
masks,0.006244744374826518,0.007186251663171349,tmp_treatment[T.low],Narrow
dist,0.024515810406658213,0.017732468803698012,tmp_treatment[T.high],Broad
dist,0.00511034858816853,0.017677757551358243,tmp_treatment[T.low],Narrow
vaccine,0.021951346391481233,0.008157817720343399,tmp_treatment[T.high],Broad
vaccine,0.01737340867854859,0.007992271037788826,tmp_treatment[T.low],Narrow
