,Estimate,SE,term,group,sort_order
No,-0.011699706625230993,0.037271207175408994,tmp_treatment[T.high],Broad,0.0
No,-0.015005853547025884,0.03903098215216982,tmp_treatment[T.low],Narrow,0.0
Don't know,-0.002411690086444437,0.027146407918165295,tmp_treatment[T.high],Broad,1.0
Don't know,0.007902037014054368,0.02541747877615019,tmp_treatment[T.low],Narrow,1.0
Yes,0.007386749634155484,0.017880321743102327,tmp_treatment[T.high],Broad,2.0
Yes,-0.03079515044100322,0.017016478372654055,tmp_treatment[T.low],Narrow,2.0
Average,0.0044514659056263724,0.01398586742753966,tmp_treatment[T.high],Broad,
Average,-0.017328593296048373,0.013817207882251416,tmp_treatment[T.low],Narrow,
