,Estimate,SE,term,group
masks,0.0015606007813517729,0.006062260395873735,tmp_treatment[T.high],Broad
masks,0.011313465411344445,0.0056431934231881455,tmp_treatment[T.low],Narrow
dist,0.0009113762275055296,0.01431056838171262,tmp_treatment[T.high],Broad
dist,-0.0211392197067441,0.01418958494779777,tmp_treatment[T.low],Narrow
vaccine,0.027448767000658587,0.006570800622324017,tmp_treatment[T.high],Broad
vaccine,0.021483103693903216,0.006483974165009068,tmp_treatment[T.low],Narrow
