,Estimate,SE,term,group,sort_order
No,0.04054833412266056,0.017854248964797995,tmp_treatment[T.high],Broad,0.0
No,0.01693397040195604,0.016822719122831942,tmp_treatment[T.low],Narrow,0.0
Don't know,0.070679291166345,0.011308587305432391,tmp_treatment[T.high],Broad,1.0
Don't know,0.05226241616281795,0.011426271141080559,tmp_treatment[T.low],Narrow,1.0
Yes,0.029052418112351115,0.006313017281179853,tmp_treatment[T.high],Broad,2.0
Yes,0.026680119911956197,0.006262620258655387,tmp_treatment[T.low],Narrow,2.0
Average,0.039288784276132416,0.005756682462184144,tmp_treatment[T.high],Broad,
Average,0.032535944341703885,0.005656741870709351,tmp_treatment[T.low],Narrow,
