,Estimate,SE,term,group
masks,0.011456620844240872,0.005886196841663252,tmp_treatment[T.high],Broad
masks,0.021316597292463,0.0054408428033643945,tmp_treatment[T.low],Narrow
dist,0.0044514659056263724,0.01398586742753966,tmp_treatment[T.high],Broad
dist,-0.017328593296048373,0.013817207882251416,tmp_treatment[T.low],Narrow
vaccine,0.039288784276132416,0.005756682462184144,tmp_treatment[T.high],Broad
vaccine,0.032535944341703885,0.005656741870709351,tmp_treatment[T.low],Narrow
