,Estimate,SE,term,group,sort_order
No,0.01024188063903093,0.022588586901540034,tmp_treatment[T.high],Broad,0.0
No,0.03841945434091374,0.019559934005426306,tmp_treatment[T.low],Narrow,0.0
Don't know,0.0020625950144759005,0.012453573627527855,tmp_treatment[T.high],Broad,1.0
Don't know,0.036404588898525284,0.011142618894126688,tmp_treatment[T.low],Narrow,1.0
Yes,0.01412957553774197,0.0062313826721343505,tmp_treatment[T.high],Broad,2.0
Yes,0.014101159433232141,0.005954506396574597,tmp_treatment[T.low],Narrow,2.0
Average,0.011456620844240872,0.005886196841663252,tmp_treatment[T.high],Broad,
Average,0.021316597292463,0.0054408428033643945,tmp_treatment[T.low],Narrow,
