,Estimate,SE,term,group
masks,0.009555260140630649,0.007537949000696289,tmp_treatment[T.high],Broad
masks,0.017338778630281076,0.006936391700912378,tmp_treatment[T.low],Narrow
dist,0.01579442436210437,0.017320330676024467,tmp_treatment[T.high],Broad
dist,-0.003920974115572414,0.01726909914240333,tmp_treatment[T.low],Narrow
vaccine,0.029838705688009386,0.007213461908601986,tmp_treatment[T.high],Broad
vaccine,0.023908797779484767,0.0070488852282594465,tmp_treatment[T.low],Narrow
